INFO 2026-01-21 02:01:36,170 autoreload 15784 19712 Watching for file changes with StatReloader
WARNING 2026-01-21 02:22:08,632 log 26796 25968 Not Found: /api/products/featured/
WARNING 2026-01-21 02:22:08,637 log 26796 27556 Not Found: /api/products/
WARNING 2026-01-21 02:22:08,638 log 26796 25968 "GET /api/products/featured/ HTTP/1.1" 404 3394
WARNING 2026-01-21 02:22:08,638 log 26796 27556 "GET /api/products/?is_new_arrival=true&limit=8 HTTP/1.1" 404 3399
WARNING 2026-01-21 02:22:13,021 log 26796 27556 Not Found: /api/products/
WARNING 2026-01-21 02:22:13,022 log 26796 27556 "GET /api/products/?search=&min_price=&max_price=&ordering=-created_at HTTP/1.1" 404 3430
WARNING 2026-01-21 02:22:13,030 log 26796 27556 Not Found: /api/products/
WARNING 2026-01-21 02:22:13,031 log 26796 27556 "GET /api/products/?search=&min_price=&max_price=&ordering=-created_at HTTP/1.1" 404 3430
WARNING 2026-01-21 02:22:17,574 log 26796 27556 Not Found: /api/products/featured/
WARNING 2026-01-21 02:22:17,582 log 26796 25968 Not Found: /api/products/
WARNING 2026-01-21 02:22:17,583 log 26796 27556 "GET /api/products/featured/ HTTP/1.1" 404 3394
WARNING 2026-01-21 02:22:17,593 log 26796 24620 Not Found: /api/products/featured/
WARNING 2026-01-21 02:22:17,593 log 26796 25968 "GET /api/products/?is_new_arrival=true&limit=8 HTTP/1.1" 404 3399
WARNING 2026-01-21 02:22:17,594 log 26796 24620 "GET /api/products/featured/ HTTP/1.1" 404 3394
WARNING 2026-01-21 02:22:17,605 log 26796 25968 Not Found: /api/products/
WARNING 2026-01-21 02:22:17,606 log 26796 25968 "GET /api/products/?is_new_arrival=true&limit=8 HTTP/1.1" 404 3399
WARNING 2026-01-21 02:22:28,964 log 26796 22556 Not Found: /api/products/featured/
WARNING 2026-01-21 02:22:28,967 log 26796 20388 Not Found: /api/products/
WARNING 2026-01-21 02:22:28,968 log 26796 22556 "GET /api/products/featured/ HTTP/1.1" 404 3394
WARNING 2026-01-21 02:22:28,968 log 26796 20388 "GET /api/products/?is_new_arrival=true&limit=8 HTTP/1.1" 404 3399
WARNING 2026-01-21 02:22:35,383 log 26796 20388 Not Found: /api/cart/
WARNING 2026-01-21 02:22:35,384 log 26796 20388 "GET /api/cart/ HTTP/1.1" 404 3355
WARNING 2026-01-21 02:22:35,390 log 26796 22556 Not Found: /api/cart/
WARNING 2026-01-21 02:22:35,390 log 26796 22556 "GET /api/cart/ HTTP/1.1" 404 3355
WARNING 2026-01-21 02:22:36,982 log 26796 22556 Not Found: /api/products/featured/
WARNING 2026-01-21 02:22:36,986 log 26796 20388 Not Found: /api/products/
WARNING 2026-01-21 02:22:36,986 log 26796 22556 "GET /api/products/featured/ HTTP/1.1" 404 3394
WARNING 2026-01-21 02:22:36,987 log 26796 20388 "GET /api/products/?is_new_arrival=true&limit=8 HTTP/1.1" 404 3399
WARNING 2026-01-21 02:22:36,993 log 26796 7176 Not Found: /api/products/featured/
WARNING 2026-01-21 02:22:36,998 log 26796 18588 Not Found: /api/products/
WARNING 2026-01-21 02:22:36,998 log 26796 7176 "GET /api/products/featured/ HTTP/1.1" 404 3394
WARNING 2026-01-21 02:22:36,998 log 26796 18588 "GET /api/products/?is_new_arrival=true&limit=8 HTTP/1.1" 404 3399
WARNING 2026-01-21 02:22:53,504 log 26796 25968 Not Found: /api/products/
WARNING 2026-01-21 02:22:53,505 log 26796 25968 "GET /api/products/?search=&min_price=&max_price=&ordering=-created_at HTTP/1.1" 404 3430
WARNING 2026-01-21 02:22:53,514 log 26796 25968 Not Found: /api/products/
WARNING 2026-01-21 02:22:53,515 log 26796 25968 "GET /api/products/?search=&min_price=&max_price=&ordering=-created_at HTTP/1.1" 404 3430
WARNING 2026-01-21 02:22:57,380 log 26796 25968 Not Found: /api/products/featured/
WARNING 2026-01-21 02:22:57,389 log 26796 25968 "GET /api/products/featured/ HTTP/1.1" 404 3394
WARNING 2026-01-21 02:22:57,417 log 26796 24620 Not Found: /api/products/
WARNING 2026-01-21 02:22:57,425 log 26796 25968 Not Found: /api/products/featured/
WARNING 2026-01-21 02:22:57,426 log 26796 24620 "GET /api/products/?is_new_arrival=true&limit=8 HTTP/1.1" 404 3399
WARNING 2026-01-21 02:22:57,426 log 26796 25968 "GET /api/products/featured/ HTTP/1.1" 404 3394
WARNING 2026-01-21 02:22:57,442 log 26796 24620 Not Found: /api/products/
WARNING 2026-01-21 02:22:57,445 log 26796 24620 "GET /api/products/?is_new_arrival=true&limit=8 HTTP/1.1" 404 3399
WARNING 2026-01-21 02:22:59,811 log 26796 24620 Not Found: /api/products/featured/
WARNING 2026-01-21 02:22:59,816 log 26796 25968 Not Found: /api/products/
WARNING 2026-01-21 02:22:59,816 log 26796 24620 "GET /api/products/featured/ HTTP/1.1" 404 3394
WARNING 2026-01-21 02:22:59,817 log 26796 25968 "GET /api/products/?is_new_arrival=true&limit=8 HTTP/1.1" 404 3399
WARNING 2026-01-21 02:22:59,827 log 26796 24620 Not Found: /api/products/featured/
WARNING 2026-01-21 02:22:59,831 log 26796 25968 Not Found: /api/products/
WARNING 2026-01-21 02:22:59,832 log 26796 24620 "GET /api/products/featured/ HTTP/1.1" 404 3394
WARNING 2026-01-21 02:22:59,832 log 26796 25968 "GET /api/products/?is_new_arrival=true&limit=8 HTTP/1.1" 404 3399
WARNING 2026-01-21 02:23:07,062 log 26796 25968 Not Found: /api/cart/
WARNING 2026-01-21 02:23:07,063 log 26796 25968 "GET /api/cart/ HTTP/1.1" 404 3355
WARNING 2026-01-21 02:23:07,071 log 26796 25968 Not Found: /api/cart/
WARNING 2026-01-21 02:23:07,071 log 26796 25968 "GET /api/cart/ HTTP/1.1" 404 3355
INFO 2026-01-21 02:24:19,199 log 26796 25968 "OPTIONS /api/auth/register/ HTTP/1.1" 200 0
WARNING 2026-01-21 02:24:19,207 log 26796 25968 Not Found: /api/auth/register/
WARNING 2026-01-21 02:24:19,208 log 26796 25968 "POST /api/auth/register/ HTTP/1.1" 404 3383
WARNING 2026-01-21 02:24:32,346 log 26796 25968 Not Found: /api/auth/register/
WARNING 2026-01-21 02:24:32,347 log 26796 25968 "POST /api/auth/register/ HTTP/1.1" 404 3383
INFO 2026-01-21 02:25:29,843 autoreload 10264 26720 Watching for file changes with StatReloader
WARNING 2026-01-21 02:25:37,411 log 26796 25968 Not Found: /api/auth/register/
WARNING 2026-01-21 02:25:37,411 log 26796 25968 "POST /api/auth/register/ HTTP/1.1" 404 3383
WARNING 2026-01-21 02:25:51,910 log 26796 25968 Not Found: /api/products/featured/
WARNING 2026-01-21 02:25:51,915 log 26796 24620 Not Found: /api/products/
WARNING 2026-01-21 02:25:51,915 log 26796 25968 "GET /api/products/featured/ HTTP/1.1" 404 3394
WARNING 2026-01-21 02:25:51,916 log 26796 24620 "GET /api/products/?is_new_arrival=true&limit=8 HTTP/1.1" 404 3399
WARNING 2026-01-21 02:25:51,925 log 26796 25968 Not Found: /api/products/featured/
WARNING 2026-01-21 02:25:51,929 log 26796 24620 Not Found: /api/products/
WARNING 2026-01-21 02:25:51,929 log 26796 24620 "GET /api/products/?is_new_arrival=true&limit=8 HTTP/1.1" 404 3399
WARNING 2026-01-21 02:25:51,929 log 26796 25968 "GET /api/products/featured/ HTTP/1.1" 404 3394
WARNING 2026-01-21 02:25:53,984 log 26796 24620 Not Found: /api/products/featured/
WARNING 2026-01-21 02:25:53,989 log 26796 25968 Not Found: /api/products/
WARNING 2026-01-21 02:25:53,989 log 26796 24620 "GET /api/products/featured/ HTTP/1.1" 404 3394
WARNING 2026-01-21 02:25:53,990 log 26796 25968 "GET /api/products/?is_new_arrival=true&limit=8 HTTP/1.1" 404 3399
WARNING 2026-01-21 02:25:53,999 log 26796 25968 Not Found: /api/products/
WARNING 2026-01-21 02:25:54,006 log 26796 24620 Not Found: /api/products/featured/
WARNING 2026-01-21 02:25:54,006 log 26796 25968 "GET /api/products/?is_new_arrival=true&limit=8 HTTP/1.1" 404 3399
WARNING 2026-01-21 02:25:54,007 log 26796 24620 "GET /api/products/featured/ HTTP/1.1" 404 3394
WARNING 2026-01-21 02:25:55,099 log 26796 24620 Not Found: /api/products/featured/
WARNING 2026-01-21 02:25:55,106 log 26796 25968 Not Found: /api/products/
WARNING 2026-01-21 02:25:55,112 log 26796 27556 Not Found: /api/products/featured/
WARNING 2026-01-21 02:25:55,106 log 26796 24620 "GET /api/products/featured/ HTTP/1.1" 404 3394
WARNING 2026-01-21 02:25:55,113 log 26796 25968 "GET /api/products/?is_new_arrival=true&limit=8 HTTP/1.1" 404 3399
WARNING 2026-01-21 02:25:55,113 log 26796 27556 "GET /api/products/featured/ HTTP/1.1" 404 3394
WARNING 2026-01-21 02:25:55,118 log 26796 25968 Not Found: /api/products/
WARNING 2026-01-21 02:25:55,119 log 26796 25968 "GET /api/products/?is_new_arrival=true&limit=8 HTTP/1.1" 404 3399
WARNING 2026-01-21 02:26:06,784 log 26796 25968 Not Found: /api/products/featured/
WARNING 2026-01-21 02:26:06,787 log 26796 27556 Not Found: /api/products/
WARNING 2026-01-21 02:26:06,787 log 26796 25968 "GET /api/products/featured/ HTTP/1.1" 404 3394
WARNING 2026-01-21 02:26:06,788 log 26796 27556 "GET /api/products/?is_new_arrival=true&limit=8 HTTP/1.1" 404 3399
WARNING 2026-01-21 02:26:06,797 log 26796 25968 Not Found: /api/products/featured/
WARNING 2026-01-21 02:26:06,801 log 26796 27556 Not Found: /api/products/
WARNING 2026-01-21 02:26:06,801 log 26796 25968 "GET /api/products/featured/ HTTP/1.1" 404 3394
WARNING 2026-01-21 02:26:06,802 log 26796 27556 "GET /api/products/?is_new_arrival=true&limit=8 HTTP/1.1" 404 3399
WARNING 2026-01-21 02:27:04,843 log 26796 17696 Not Found: /api/products/
WARNING 2026-01-21 02:27:04,843 log 26796 17696 "GET /api/products/ HTTP/1.1" 404 3367
ERROR 2026-01-21 02:27:20,301 exceptions 26796 25968 Unhandled exception: no such table: products_product
Traceback (most recent call last):
  File "D:\Websites\Charmé\.venv\Lib\site-packages\django\db\backends\utils.py", line 105, in _execute
    return self.cursor.execute(sql, params)
           ~~~~~~~~~~~~~~~~~~~^^^^^^^^^^^^^
  File "D:\Websites\Charmé\.venv\Lib\site-packages\django\db\backends\sqlite3\base.py", line 359, in execute
    return super().execute(query, params)
           ~~~~~~~~~~~~~~~^^^^^^^^^^^^^^^
sqlite3.OperationalError: no such table: products_product

The above exception was the direct cause of the following exception:

Traceback (most recent call last):
  File "D:\Websites\Charmé\.venv\Lib\site-packages\rest_framework\views.py", line 512, in dispatch
    response = handler(request, *args, **kwargs)
  File "D:\Websites\Charmé\backend\apps\products\views.py", line 80, in list
    page = self.paginate_queryset(queryset)
  File "D:\Websites\Charmé\.venv\Lib\site-packages\rest_framework\generics.py", line 175, in paginate_queryset
    return self.paginator.paginate_queryset(queryset, self.request, view=self)
           ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
  File "D:\Websites\Charmé\.venv\Lib\site-packages\rest_framework\pagination.py", line 211, in paginate_queryset
    self.page = paginator.page(page_number)
                ~~~~~~~~~~~~~~^^^^^^^^^^^^^
  File "D:\Websites\Charmé\.venv\Lib\site-packages\django\core\paginator.py", line 177, in page
    number = self.validate_number(number)
  File "D:\Websites\Charmé\.venv\Lib\site-packages\django\core\paginator.py", line 160, in validate_number
    return self._validate_number(number, self.num_pages)
                                         ^^^^^^^^^^^^^^
  File "D:\Websites\Charmé\.venv\Lib\site-packages\django\utils\functional.py", line 47, in __get__
    res = instance.__dict__[self.name] = self.func(instance)
                                         ~~~~~~~~~^^^^^^^^^^
  File "D:\Websites\Charmé\.venv\Lib\site-packages\django\core\paginator.py", line 195, in num_pages
    if self.count == 0 and not self.allow_empty_first_page:
       ^^^^^^^^^^
  File "D:\Websites\Charmé\.venv\Lib\site-packages\django\utils\functional.py", line 47, in __get__
    res = instance.__dict__[self.name] = self.func(instance)
                                         ~~~~~~~~~^^^^^^^^^^
  File "D:\Websites\Charmé\.venv\Lib\site-packages\django\core\paginator.py", line 189, in count
    return c()
  File "D:\Websites\Charmé\.venv\Lib\site-packages\django\db\models\query.py", line 610, in count
    return self.query.get_count(using=self.db)
           ~~~~~~~~~~~~~~~~~~~~^^^^^^^^^^^^^^^
  File "D:\Websites\Charmé\.venv\Lib\site-packages\django\db\models\sql\query.py", line 651, in get_count
    return obj.get_aggregation(using, {"__count": Count("*")})["__count"]
           ~~~~~~~~~~~~~~~~~~~^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
  File "D:\Websites\Charmé\.venv\Lib\site-packages\django\db\models\sql\query.py", line 633, in get_aggregation
    result = compiler.execute_sql(SINGLE)
  File "D:\Websites\Charmé\.venv\Lib\site-packages\django\db\models\sql\compiler.py", line 1624, in execute_sql
    cursor.execute(sql, params)
    ~~~~~~~~~~~~~~^^^^^^^^^^^^^
  File "D:\Websites\Charmé\.venv\Lib\site-packages\django\db\backends\utils.py", line 122, in execute
    return super().execute(sql, params)
           ~~~~~~~~~~~~~~~^^^^^^^^^^^^^
  File "D:\Websites\Charmé\.venv\Lib\site-packages\django\db\backends\utils.py", line 79, in execute
    return self._execute_with_wrappers(
           ~~~~~~~~~~~~~~~~~~~~~~~~~~~^
        sql, params, many=False, executor=self._execute
        ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
    )
    ^
  File "D:\Websites\Charmé\.venv\Lib\site-packages\django\db\backends\utils.py", line 92, in _execute_with_wrappers
    return executor(sql, params, many, context)
  File "D:\Websites\Charmé\.venv\Lib\site-packages\django\db\backends\utils.py", line 100, in _execute
    with self.db.wrap_database_errors:
         ^^^^^^^^^^^^^^^^^^^^^^^^^^^^
  File "D:\Websites\Charmé\.venv\Lib\site-packages\django\db\utils.py", line 94, in __exit__
    raise dj_exc_value.with_traceback(traceback) from exc_value
  File "D:\Websites\Charmé\.venv\Lib\site-packages\django\db\backends\utils.py", line 105, in _execute
    return self.cursor.execute(sql, params)
           ~~~~~~~~~~~~~~~~~~~^^^^^^^^^^^^^
  File "D:\Websites\Charmé\.venv\Lib\site-packages\django\db\backends\sqlite3\base.py", line 359, in execute
    return super().execute(query, params)
           ~~~~~~~~~~~~~~~^^^^^^^^^^^^^^^
django.db.utils.OperationalError: no such table: products_product
ERROR 2026-01-21 02:27:20,304 exceptions 26796 27556 Unhandled exception: no such table: products_product
Traceback (most recent call last):
  File "D:\Websites\Charmé\.venv\Lib\site-packages\django\db\backends\utils.py", line 105, in _execute
    return self.cursor.execute(sql, params)
           ~~~~~~~~~~~~~~~~~~~^^^^^^^^^^^^^
  File "D:\Websites\Charmé\.venv\Lib\site-packages\django\db\backends\sqlite3\base.py", line 359, in execute
    return super().execute(query, params)
           ~~~~~~~~~~~~~~~^^^^^^^^^^^^^^^
sqlite3.OperationalError: no such table: products_product

The above exception was the direct cause of the following exception:

Traceback (most recent call last):
  File "D:\Websites\Charmé\.venv\Lib\site-packages\rest_framework\views.py", line 512, in dispatch
    response = handler(request, *args, **kwargs)
  File "D:\Websites\Charmé\.venv\Lib\site-packages\rest_framework\mixins.py", line 54, in retrieve
    instance = self.get_object()
  File "D:\Websites\Charmé\.venv\Lib\site-packages\rest_framework\generics.py", line 100, in get_object
    obj = get_object_or_404(queryset, **filter_kwargs)
  File "D:\Websites\Charmé\.venv\Lib\site-packages\rest_framework\generics.py", line 19, in get_object_or_404
    return _get_object_or_404(queryset, *filter_args, **filter_kwargs)
  File "D:\Websites\Charmé\.venv\Lib\site-packages\django\shortcuts.py", line 90, in get_object_or_404
    return queryset.get(*args, **kwargs)
           ~~~~~~~~~~~~^^^^^^^^^^^^^^^^^
  File "D:\Websites\Charmé\.venv\Lib\site-packages\django\db\models\query.py", line 635, in get
    num = len(clone)
  File "D:\Websites\Charmé\.venv\Lib\site-packages\django\db\models\query.py", line 372, in __len__
    self._fetch_all()
    ~~~~~~~~~~~~~~~^^
  File "D:\Websites\Charmé\.venv\Lib\site-packages\django\db\models\query.py", line 2000, in _fetch_all
    self._result_cache = list(self._iterable_class(self))
                         ~~~~^^^^^^^^^^^^^^^^^^^^^^^^^^^^
  File "D:\Websites\Charmé\.venv\Lib\site-packages\django\db\models\query.py", line 95, in __iter__
    results = compiler.execute_sql(
        chunked_fetch=self.chunked_fetch, chunk_size=self.chunk_size
    )
  File "D:\Websites\Charmé\.venv\Lib\site-packages\django\db\models\sql\compiler.py", line 1624, in execute_sql
    cursor.execute(sql, params)
    ~~~~~~~~~~~~~~^^^^^^^^^^^^^
  File "D:\Websites\Charmé\.venv\Lib\site-packages\django\db\backends\utils.py", line 122, in execute
    return super().execute(sql, params)
           ~~~~~~~~~~~~~~~^^^^^^^^^^^^^
  File "D:\Websites\Charmé\.venv\Lib\site-packages\django\db\backends\utils.py", line 79, in execute
    return self._execute_with_wrappers(
           ~~~~~~~~~~~~~~~~~~~~~~~~~~~^
        sql, params, many=False, executor=self._execute
        ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
    )
    ^
  File "D:\Websites\Charmé\.venv\Lib\site-packages\django\db\backends\utils.py", line 92, in _execute_with_wrappers
    return executor(sql, params, many, context)
  File "D:\Websites\Charmé\.venv\Lib\site-packages\django\db\backends\utils.py", line 100, in _execute
    with self.db.wrap_database_errors:
         ^^^^^^^^^^^^^^^^^^^^^^^^^^^^
  File "D:\Websites\Charmé\.venv\Lib\site-packages\django\db\utils.py", line 94, in __exit__
    raise dj_exc_value.with_traceback(traceback) from exc_value
  File "D:\Websites\Charmé\.venv\Lib\site-packages\django\db\backends\utils.py", line 105, in _execute
    return self.cursor.execute(sql, params)
           ~~~~~~~~~~~~~~~~~~~^^^^^^^^^^^^^
  File "D:\Websites\Charmé\.venv\Lib\site-packages\django\db\backends\sqlite3\base.py", line 359, in execute
    return super().execute(query, params)
           ~~~~~~~~~~~~~~~^^^^^^^^^^^^^^^
django.db.utils.OperationalError: no such table: products_product
ERROR 2026-01-21 02:27:20,323 log 26796 25968 Internal Server Error: /api/v1/products/
ERROR 2026-01-21 02:27:20,335 log 26796 27556 Internal Server Error: /api/v1/products/featured/
ERROR 2026-01-21 02:27:20,336 log 26796 25968 "GET /api/v1/products/?is_new_arrival=true&limit=8 HTTP/1.1" 500 119
ERROR 2026-01-21 02:27:20,336 log 26796 27556 "GET /api/v1/products/featured/ HTTP/1.1" 500 119
ERROR 2026-01-21 02:27:20,348 exceptions 26796 25968 Unhandled exception: no such table: products_product
Traceback (most recent call last):
  File "D:\Websites\Charmé\.venv\Lib\site-packages\django\db\backends\utils.py", line 105, in _execute
    return self.cursor.execute(sql, params)
           ~~~~~~~~~~~~~~~~~~~^^^^^^^^^^^^^
  File "D:\Websites\Charmé\.venv\Lib\site-packages\django\db\backends\sqlite3\base.py", line 359, in execute
    return super().execute(query, params)
           ~~~~~~~~~~~~~~~^^^^^^^^^^^^^^^
sqlite3.OperationalError: no such table: products_product

The above exception was the direct cause of the following exception:

Traceback (most recent call last):
  File "D:\Websites\Charmé\.venv\Lib\site-packages\rest_framework\views.py", line 512, in dispatch
    response = handler(request, *args, **kwargs)
  File "D:\Websites\Charmé\backend\apps\products\views.py", line 80, in list
    page = self.paginate_queryset(queryset)
  File "D:\Websites\Charmé\.venv\Lib\site-packages\rest_framework\generics.py", line 175, in paginate_queryset
    return self.paginator.paginate_queryset(queryset, self.request, view=self)
           ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
  File "D:\Websites\Charmé\.venv\Lib\site-packages\rest_framework\pagination.py", line 211, in paginate_queryset
    self.page = paginator.page(page_number)
                ~~~~~~~~~~~~~~^^^^^^^^^^^^^
  File "D:\Websites\Charmé\.venv\Lib\site-packages\django\core\paginator.py", line 177, in page
    number = self.validate_number(number)
  File "D:\Websites\Charmé\.venv\Lib\site-packages\django\core\paginator.py", line 160, in validate_number
    return self._validate_number(number, self.num_pages)
                                         ^^^^^^^^^^^^^^
  File "D:\Websites\Charmé\.venv\Lib\site-packages\django\utils\functional.py", line 47, in __get__
    res = instance.__dict__[self.name] = self.func(instance)
                                         ~~~~~~~~~^^^^^^^^^^
  File "D:\Websites\Charmé\.venv\Lib\site-packages\django\core\paginator.py", line 195, in num_pages
    if self.count == 0 and not self.allow_empty_first_page:
       ^^^^^^^^^^
  File "D:\Websites\Charmé\.venv\Lib\site-packages\django\utils\functional.py", line 47, in __get__
    res = instance.__dict__[self.name] = self.func(instance)
                                         ~~~~~~~~~^^^^^^^^^^
  File "D:\Websites\Charmé\.venv\Lib\site-packages\django\core\paginator.py", line 189, in count
    return c()
  File "D:\Websites\Charmé\.venv\Lib\site-packages\django\db\models\query.py", line 610, in count
    return self.query.get_count(using=self.db)
           ~~~~~~~~~~~~~~~~~~~~^^^^^^^^^^^^^^^
  File "D:\Websites\Charmé\.venv\Lib\site-packages\django\db\models\sql\query.py", line 651, in get_count
    return obj.get_aggregation(using, {"__count": Count("*")})["__count"]
           ~~~~~~~~~~~~~~~~~~~^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
  File "D:\Websites\Charmé\.venv\Lib\site-packages\django\db\models\sql\query.py", line 633, in get_aggregation
    result = compiler.execute_sql(SINGLE)
  File "D:\Websites\Charmé\.venv\Lib\site-packages\django\db\models\sql\compiler.py", line 1624, in execute_sql
    cursor.execute(sql, params)
    ~~~~~~~~~~~~~~^^^^^^^^^^^^^
  File "D:\Websites\Charmé\.venv\Lib\site-packages\django\db\backends\utils.py", line 122, in execute
    return super().execute(sql, params)
           ~~~~~~~~~~~~~~~^^^^^^^^^^^^^
  File "D:\Websites\Charmé\.venv\Lib\site-packages\django\db\backends\utils.py", line 79, in execute
    return self._execute_with_wrappers(
           ~~~~~~~~~~~~~~~~~~~~~~~~~~~^
        sql, params, many=False, executor=self._execute
        ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
    )
    ^
  File "D:\Websites\Charmé\.venv\Lib\site-packages\django\db\backends\utils.py", line 92, in _execute_with_wrappers
    return executor(sql, params, many, context)
  File "D:\Websites\Charmé\.venv\Lib\site-packages\django\db\backends\utils.py", line 100, in _execute
    with self.db.wrap_database_errors:
         ^^^^^^^^^^^^^^^^^^^^^^^^^^^^
  File "D:\Websites\Charmé\.venv\Lib\site-packages\django\db\utils.py", line 94, in __exit__
    raise dj_exc_value.with_traceback(traceback) from exc_value
  File "D:\Websites\Charmé\.venv\Lib\site-packages\django\db\backends\utils.py", line 105, in _execute
    return self.cursor.execute(sql, params)
           ~~~~~~~~~~~~~~~~~~~^^^^^^^^^^^^^
  File "D:\Websites\Charmé\.venv\Lib\site-packages\django\db\backends\sqlite3\base.py", line 359, in execute
    return super().execute(query, params)
           ~~~~~~~~~~~~~~~^^^^^^^^^^^^^^^
django.db.utils.OperationalError: no such table: products_product
ERROR 2026-01-21 02:27:20,349 exceptions 26796 27556 Unhandled exception: no such table: products_product
Traceback (most recent call last):
  File "D:\Websites\Charmé\.venv\Lib\site-packages\django\db\backends\utils.py", line 105, in _execute
    return self.cursor.execute(sql, params)
           ~~~~~~~~~~~~~~~~~~~^^^^^^^^^^^^^
  File "D:\Websites\Charmé\.venv\Lib\site-packages\django\db\backends\sqlite3\base.py", line 359, in execute
    return super().execute(query, params)
